lon,lat,name,comment
-123.0781987,49.2329399,Weeds Glass & Gifts,https://www.weedsglassandgifts.com/
-123.0294302,49.2809897,Weeds Glass & Gifts,https://www.weedsglassandgifts.com/
-123.1002976,49.273877,Weeds Glass & Gifts,https://www.weedsglassandgifts.com/
-123.0651596,49.2386372,Weeds Glass & Gifts,https://www.weedsglassandgifts.com/
-123.1019399,49.2242059,Weeds Glass & Gifts,https://www.weedsglassandgifts.com/
-123.1460031,49.2695682,Weeds Glass & Gifts,Unit #104<BR>https://www.weedsglassandgifts.com/
-123.1704668,49.2683941,Weeds Glass & Gifts,https://www.weedsglassandgifts.com/
-123.1297759,49.2786897,Weeds Glass & Gifts,https://www.weedsglassandgifts.com/
-123.1813775,49.2642888,Weeds Social Club,http://weedscanada.com/
-123.1151106,49.2592017,Westcoast Medicann,http://www.westcoastmedicann.com/
