"TYPE","YEAR","MONTH","address","lon","lat","GPS","city"
"Commercial Break and Enter",2014,1,"700 E CORDOVA ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"400 DUNSMUIR ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"500 GREAT NORTHERN WAY",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"1400 WILLIAM ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"1100 W PENDER ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"300 RAILWAY ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"2500 FRASER ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"1500 E HASTINGS ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"600 HOWE ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"3700 W 28TH AVE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"2600 GRANVILLE ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"100 VICTORIA DR",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"900 W 16TH AVE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"400 W HASTINGS ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"800 E HASTINGS ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"600 STAMPS LAND",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"1100 HOWE ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"200 E HASTINGS ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"100 DUNLEVY AVE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"600 EVANS AVE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"300 RAILWAY ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"700 E CORDOVA ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"1500 SW MARINE DR",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"300 ALEXANDER ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"400 W 15TH AVE",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"1100 JERVIS ST",NA,NA,NA,"VANCOUVER BC"
"Commercial Break and Enter",2014,1,"1600 W 3RD AVE",NA,NA,NA,"VANCOUVER BC"
